Stationsnr,Latitude,Longitude,dev_eui,Laternenr
"13361,5961048.71362561,610352.843871651,E570D,""3"""
"13362,5967276.05489108,609018.946355368,E7DE6,""41"""
"13363,5968958.89811689,606855.02598569,E5BA7,""39"""
"13364,5968052.19780357,614803.420347635,E436B,""133"""
"13365,5970170.68204702,614663.045614793,E5B98,""22"""
"13366,5967980.80120424,610177.473069398,E4E8B,""55"""
"13367,5970049.77246009,613004.960251143,E6040,""2"""
"13368,5981825.02729039,622305.19033566,E53B4,""6"""
"13369,5971741.89613675,610898.849543834,E57D3,""26"""
"13370,5968326.23496352,611351.938827188,E5268,""20"""
"13371,5966317.02280626,609301.795705995,E3C10,""9"""
"13372,5968078.1210549,608056.194400233,E7A34,""1"""
"13374,5971321.48352334,609755.736299659,E434E,""36"""
"13375,5967291.2705118,610497.864147632,E7052,""78"""
"13376,5970513.80078671,610352.493844941,E73A3,""1"""
"13377,5970790.37301928,610905.044635543,E5217,""311"""
"13379,5966311.84328823,605859.78241154,E4AC1,""7"""
"13380,5968479.04806477,610207.629035565,E761F,""10"""
"13381,5973807.15926964,619545.663363855,E572D,""0"""
"13382,5973506.51138493,610057.02820711,E5B9D,""2"""
"13385,5970549.27307764,614215.162829851,E6069,""79"""
"13386,5967500.22585128,608012.575457126,E45DB,""18"""
"13387,5972719.11924133,611200.33186441,E6A24,""23"""
"13388,5969408.49634382,610054.083898432,E223A,""26"""
"13389,5969450.23440916,608564.779471858,E4EB2,""98"""
"13390,5972024.82368287,608658.516876247,E46BE,""3"""
"13391,5980851.11826634,620606.560215134,E45F8,""30"""
"13392,5968012.55344646,614864.196660772,E45EC,""136"""
"13393,5972977.67740248,609659.736431614,E7217,""90"""
"13394,5972280.97660109,612030.567403279,E57C3,""43"""
"13395,5968112.23015714,610145.11663097,E557C,""0"""
"13396,5967039.75372736,609350.70404567,E5744,""22"""
"13397,5971004.69455769,606086.607960448,E611E,""23"""
"13398,5971494.22059159,610311.729364577,E5FC8,""1"""
"13399,5968457.11473495,607598.880516846,E4692,""18"""
"13400,5971477.06581378,617890.412279672,E52A7,""2"""
"13401,5966625.05182606,611720.853976552,E1E54,""0"""
"13402,5968750.73156254,611648.922711012,E603E,""29"""
"13403,5970447.77954724,611467.417175203,E4DB5,""27"""
"13404,5968083.22730125,610178.542918971,E7B54,""0"""
"13405,5972199.75059678,612699.17695914,E525C,""3"""
"13406,5976494.45323387,619581.806140501,E75A1,""46"""
"13407,5963399.80692278,607703.912587224,E45ED,""1"""
"13408,5970801.48975617,609491.724101549,E6120,""31"""
"13409,5978632.20280964,621106.330103462,E72F2,""49"""
"13410,5969969.76253704,610094.522979678,E4A7A,""87"""
"13378,5966761.82663518,611749.753236067,E5297,""0"""
