Stationsnr;Latitude;Longitude;dev_eui;Laternenr;FID;row;col;row_col
13361;5961048.71;610352.84;E570D;3;780;33;23;33_23
13362;5967276.05;609018.95;E7DE6;41;740;27;22;27_22
13363;5968958.90;606855.03;E5BA7;39;670;25;20;25_20
13364;5968052.20;614803.42;E436B;133;943;26;28;26_28
13365;5970170.68;614663.05;E5B98;22;941;24;28;24_28
13366;5967980.80;610177.47;E4E8B;55;773;26;23;26_23
13367;5970049.77;613004.96;E6040;2;873;24;26;24_26
13368;5981825.03;622305.19;E53B4;6;1167;12;35;12_35
13369;5971741.90;610898.85;E57D3;26;803;22;24;22_24
13370;5968326.23;611351.94;E5268;20;807;26;24;26_24
13371;5966317.02;609301.80;E3C10;9;741;28;22;28_22
13372;5968078.12;608056.19;E7A34;1;705;26;21;26_21
13374;5971321.48;609755.74;E434E;36;770;23;23;23_23
13375;5967291.27;610497.86;E7052;78;774;27;23;27_23
13376;5970513.80;610352.49;E73A3;1;771;24;23;24_23
13377;5970790.37;610905.04;E5217;311;804;23;24;23_24
13379;5966311.84;605859.78;E4AC1;7;639;28;19;28_19
13380;5968479.05;610207.63;E761F;10;773;26;23;26_23
13381;5973807.16;619545.66;E572D;0;1073;20;32;20_32
13382;5973506.51;610057.03;E5B9D;2;768;21;23;21_23
13385;5970549.27;614215.16;E6069;79;906;23;27;23_27
13386;5967500.23;608012.58;E45DB;18;706;27;21;27_21
13387;5972719.12;611200.33;E6A24;23;802;21;24;21_24
13388;5969408.50;610054.08;E223A;26;772;25;23;25_23
13389;5969450.23;608564.78;E4EB2;98;704;25;21;25_21
13390;5972024.82;608658.52;E46BE;3;735;22;22;22_22
13391;5980851.12;620606.56;E45F8;30;1100;13;33;13_33
13392;5968012.55;614864.20;E45EC;136;943;26;28;26_28
13393;5972977.68;609659.74;E7217;90;768;21;23;21_23
13394;5972280.98;612030.57;E57C3;43;837;22;25;22_25
13395;5968112.23;610145.12;E557C;0;773;26;23;26_23
13396;5967039.75;609350.70;E5744;22;740;27;22;27_22
13397;5971004.69;606086.61;E611E;23;634;23;19;23_19
13398;5971494.22;610311.73;E5FC8;1;770;23;23;23_23
13399;5968457.11;607598.88;E4692;18;671;26;20;26_20
13400;5971477.07;617890.41;E52A7;2;1042;23;31;23_31
13401;5966625.05;611720.85;E1E54;0;842;27;25;27_25
13402;5968750.73;611648.92;E603E;29;840;25;25;25_25
13403;5970447.78;611467.42;E4DB5;27;805;24;24;24_24
13404;5968083.23;610178.54;E7B54;0;773;26;23;26_23
13405;5972199.75;612699.18;E525C;3;871;22;26;22_26
13406;5976494.45;619581.81;E75A1;46;1071;18;32;18_32
13407;5963399.81;607703.91;E45ED;1;710;31;21;31_21
13408;5970801.49;609491.72;E6120;31;736;23;22;23_22
13409;5978632.20;621106.33;E72F2;49;1136;15;34;15_34
13410;5969969.76;610094.52;E4A7A;87;771;24;23;24_23
13378;5966761.83;611749.75;E5297;0;842;27;25;27_25
