devEui;timestampstring;Time;RainMax;Latitude;Longitude;Stationsnr;ColorMax;Laternenr;FID
E1E54;2405260000;26.05.2024;0;53.83612;10.697787;13401;#003b5c;0;842
E223A;2405260000;26.05.2024;0;53.861483;10.673467;13388;#003b5c;26;772
E3C10;2405260000;26.05.2024;0;53.833867;10.660933;13371;#003b5c;9;741
E434E;2405260000;26.05.2024;0;53.878733;10.669617;13374;#003b5c;36;770
E436B;2405260000;26.05.2024;0;53.8482696;10.74514143;13364;#003b5c;133;943
E45DB;2405260000;26.05.2024;0;53.844767;10.641767;13386;#003b5c;18;706
E45EC;2405260000;26.05.2024;0;53.8479;10.74605;13392;#003b5c;136;943
E45ED;2405260000;26.05.2024;0;53.80799083;10.63564151;13407;#003b5c;1;710
E45F8;2405260000;26.05.2024;0;53.961933;10.83835;13391;#003b5c;30;1100
E4692;2405260000;26.05.2024;0;53.85345;10.635817;13399;#003b5c;18;671
E46BE;2405260000;26.05.2024;0;53.885283;10.653183;13390;#003b5c;3;735
E4A7A;2405260000;26.05.2024;-1;53.866517;10.674283;13410;#f5f2f2;87;771
E4AC1;2405260000;26.05.2024;0;53.834533;10.60865;13379;#003b5c;7;639
E4DB5;2405260000;26.05.2024;0;53.87051859;10.69532523;13403;#003b5c;27;805
E4E8B;2405260000;26.05.2024;0;53.84863;10.67483;13366;#003b5c;55;773
E4EB2;2405260000;26.05.2024;0;53.86217156;10.65084604;13389;#003b5c;98;704
E5217;2405260000;26.05.2024;0;53.873717;10.6869;13377;#003b5c;311;804
E525C;2405260000;26.05.2024;0;53.88599242;10.71469408;13405;#003b5c;3;871
E5268;2405260000;26.05.2024;0;53.851483;10.6928;13370;#003b5c;20;807
E52A7;2405260000;26.05.2024;0;53.87834621;10.79335796;13400;#003b5c;2;1042
E53B4;2405260000;26.05.2024;0;53.970283;10.864617;13368;#003b5c;6;1167
E557C;2405260000;26.05.2024;0;53.84981766;10.67438551;13395;#003b5c;0;773
E570D;2405260000;26.05.2024;0;53.78631252;10.67500857;13361;#003b5c;3;780
E572D;2405260000;26.05.2024;0;53.8989;10.819433;13381;#003b5c;0;1073
E5744;2405260000;26.05.2024;0;53.84035;10.661933;13396;#003b5c;22;740
E57C3;2405260000;26.05.2024;0;53.886867;10.704556;13394;#003b5c;43;837
E57D3;2405260000;26.05.2024;0;53.882267;10.68715;13369;#003b5c;26;803
E5B98;2405260000;26.05.2024;0;53.867333;10.7438;13365;#003b5c;22;941
E5B9D;2405260000;26.05.2024;0;53.8983;10.674983;13382;#003b5c;2;768
E5BA7;2405260000;26.05.2024;0;53.85811187;10.62468792;13363;#003b5c;39;670
E5FC8;2405260000;26.05.2024;0;53.880167;10.678133;13398;#003b5c;1;770
E603E;2405260000;26.05.2024;0;53.855233;10.697467;13402;#003b5c;29;840
E6040;2405260000;26.05.2024;0;53.86661037;10.71855183;13367;#003b5c;2;873
E6069;2405260000;26.05.2024;0;53.870833;10.737133;13385;#003b5c;79;906
E611E;2405260000;26.05.2024;0;53.87665;10.613717;13397;#003b5c;23;634
E6120;2405260000;26.05.2024;0;53.874117;10.665417;13408;#003b5c;31;736
E6A24;2405260000;26.05.2024;0;53.890982;10.692089;13387;#003b5c;23;802
E7052;2405260000;26.05.2024;0;53.842367;10.67945;13375;#003b5c;78;774
E7217;2405260000;26.05.2024;0;53.893633;10.66875;13393;#003b5c;90;768
E72F2;2405260000;26.05.2024;0;53.941883;10.845083;13409;#003b5c;49;1136
E73A3;2405260000;26.05.2024;0;53.87135;10.6784;13376;#003b5c;1;771
E75A1;2405260000;26.05.2024;0;53.923033;10.821033;13406;#003b5c;46;1071
E761F;2405260000;26.05.2024;0;53.8531;10.675467;13380;#003b5c;10;773
E7A34;2405260000;26.05.2024;0;53.84995;10.642633;13372;#003b5c;1;705
E7B54;2405260000;26.05.2024;0;53.84955;10.674883;13404;#003b5c;0;773
E7DE6;2405260000;26.05.2024;0;53.84254274;10.65697705;13362;#003b5c;41;740
